OBJECTID,MUSYM,MUKEY,SS_AREA,MUSYM_AREA,SLOPE,musym_1,muname,mukind,mustatus,muacres,mapunitlfw_l,mapunitlfw_r,mapunitlfw_h,mapunitpfa_l,mapunitpfa_r,mapunitpfa_h,farmlndcl,muhelcl,muwathelcl,muwndhelcl,interpfocus,invesintens,iacornsr,nhiforsoigrp,nhspiagr,vtsepticsyscl,mucertstat,lkey,Shape_Length,Shape_Area
1,51A,789909,HHEA,51A_HHEA,A,51A,"Swansea muck, 0 to 1 percent slopes",Consociation,,1764,,,,,,,Farmland of unique importance,Not highly erodible land,Not highly erodible land,,,,,,,,,12303,1235.803824,27780.35977
2,316B,789884,HHEA,316B_HHEA,B,316B,"Scituate fine sandy loam, 3 to 8 percent slopes, very stony",Consociation,,2280,,,,,,,Farmland of statewide importance,Potentially highly erodible land,Potentially highly erodible land,,,,,,,,,12303,555.918786,17228.74675
3,260B,789907,HHEA,260B_HHEA,B,260B,"Sudbury fine sandy loam, 3 to 8 percent slopes",Consociation,,586,,,,,,,All areas are prime farmland,Potentially highly erodible land,Potentially highly erodible land,,,,,,,,,12303,1020.574032,54028.63609
4,421C,789700,HHEA,421C_HHEA,C,421C,"Canton fine sandy loam, 8 to 15 percent slopes, very stony",Consociation,,645,,,,,,,Farmland of statewide importance,Not highly erodible land,Highly erodible land,,,,,,,,,12303,1082.858568,37669.28254
5,52A,789758,HHEA,52A_HHEA,A,52A,"Freetown muck, 0 to 1 percent slopes",Consociation,,3706,,,,,,,Farmland of unique importance,Not highly erodible land,Not highly erodible land,,,,,,,,,12303,915.1256637,40490.39288
6,316B,789884,HHEA,316B_HHEA,B,316B,"Scituate fine sandy loam, 3 to 8 percent slopes, very stony",Consociation,,2280,,,,,,,Farmland of statewide importance,Potentially highly erodible land,Potentially highly erodible land,,,,,,,,,12303,1143.506597,30690.96426
7,441B,789765,HHEA,441B_HHEA,B,441B,"Gloucester gravelly fine sandy loam, 3 to 8 percent slopes, very stony",Consociation,,668,,,,,,,Farmland of statewide importance,Potentially highly erodible land,Potentially highly erodible land,,,,,,,,,12303,645.4035637,20648.69544
8,440B,789763,HHEA,440B_HHEA,B,440B,"Gloucester gravelly fine sandy loam, 3 to 8 percent slopes",Consociation,,263,,,,,,,Farmland of statewide importance,Potentially highly erodible land,Potentially highly erodible land,,,,,,,,,12303,354.9221867,7937.586677
9,254C,789809,HHEA,254C_HHEA,C,254C,"Merrimac sandy loam, 8 to 15 percent slopes",Consociation,,676,,,,,,,Farmland of statewide importance,Not highly erodible land,Highly erodible land,,,,,,,,,12303,490.0670495,9409.025958
10,52A,789758,HHEA,52A_HHEA,A,52A,"Freetown muck, 0 to 1 percent slopes",Consociation,,3706,,,,,,,Farmland of unique importance,Not highly erodible land,Not highly erodible land,,,,,,,,,12303,598.0112835,20554.58486
11,306B,789832,HHEA,306B_HHEA,B,306B,"Paxton fine sandy loam, 3 to 8 percent slopes, very stony",Consociation,,253,,,,,,,Farmland of statewide importance,Potentially highly erodible land,Potentially highly erodible land,,,,,,,,,12303,1709.093339,133609.4638
12,254B,789804,HHEA,254B_HHEA,B,254B,"Merrimac sandy loam, 3 to 8 percent slopes",Consociation,,1759,,,,,,,All areas are prime farmland,Potentially highly erodible land,Potentially highly erodible land,,,,,,,,,12303,5451.294059,227479.7205
13,311B,789931,HHEA,311B_HHEA,B,311B,"Woodbridge fine sandy loam, 3 to 8 percent slopes, very stony",Consociation,,432,,,,,,,Farmland of statewide importance,Potentially highly erodible land,Potentially highly erodible land,,,,,,,,,12303,1864.612254,71299.79328
14,315B,789876,HHEA,315B_HHEA,B,315B,"Scituate fine sandy loam, 3 to 8 percent slopes",Consociation,,1269,,,,,,,All areas are prime farmland,Potentially highly erodible land,Potentially highly erodible land,,,,,,,,,12303,960.5496912,38592.66332
15,305B,789828,HHEA,305B_HHEA,B,305B,"Paxton fine sandy loam, 3 to 8 percent slopes",Consociation,,346,,,,,,,All areas are prime farmland,Potentially highly erodible land,Potentially highly erodible land,,,,,,,,,12303,851.4114742,33168.00835
16,421B,789699,HHEA,421B_HHEA,B,421B,"Canton fine sandy loam, 3 to 8 percent slopes, very stony",Consociation,,1154,,,,,,,Farmland of statewide importance,Potentially highly erodible land,Potentially highly erodible land,,,,,,,,,12303,1314.721152,68439.60081
17,441B,789765,HHEA,441B_HHEA,B,441B,"Gloucester gravelly fine sandy loam, 3 to 8 percent slopes, very stony",Consociation,,668,,,,,,,Farmland of statewide importance,Potentially highly erodible land,Potentially highly erodible land,,,,,,,,,12303,2033.033602,88579.0078
18,253A,789783,HHEA,253A_HHEA,A,253A,"Hinckley loamy sand, 0 to 3 percent slopes",Consociation,,864,,,,,,,Farmland of statewide importance,Not highly erodible land,Not highly erodible land,,,,,,,,,12303,1425.907862,48365.46614
19,253B,789785,HHEA,253B_HHEA,B,253B,"Hinckley loamy sand, 3 to 8 percent slopes",Consociation,,5442,,,,,,,Farmland of statewide importance,Potentially highly erodible land,Potentially highly erodible land,,,,,,,,,12303,598.0960087,23482.50335
20,386C,789746,HHEA,386C_HHEA,C,386C,"Essex gravelly fine sandy loam, 8 to 15 percent slopes, very stony",Consociation,,658,,,,,,,Farmland of statewide importance,Not highly erodible land,Highly erodible land,,,,,,,,,12303,848.9788285,31670.23856
21,255B,789923,HHEA,255B_HHEA,B,255B,"Windsor loamy sand, 3 to 8 percent slopes",Consociation,,1170,,,,,,,Farmland of statewide importance,Potentially highly erodible land,Potentially highly erodible land,,,,,,,,,12303,717.1152418,12797.61824
22,260B,789907,HHEA,260B_HHEA,B,260B,"Sudbury fine sandy loam, 3 to 8 percent slopes",Consociation,,586,,,,,,,All areas are prime farmland,Potentially highly erodible land,Potentially highly erodible land,,,,,,,,,12303,1419.803151,36943.83866
23,260A,789903,HHEA,260A_HHEA,A,260A,"Sudbury fine sandy loam, 0 to 3 percent slopes",Consociation,,1182,,,,,,,All areas are prime farmland,Not highly erodible land,Not highly erodible land,,,,,,,,,12303,626.7966746,18974.55647
24,254B,789804,HHEA,254B_HHEA,B,254B,"Merrimac sandy loam, 3 to 8 percent slopes",Consociation,,1759,,,,,,,All areas are prime farmland,Potentially highly erodible land,Potentially highly erodible land,,,,,,,,,12303,605.9812436,23587.15087
25,386C,789746,HHEA,386C_HHEA,C,386C,"Essex gravelly fine sandy loam, 8 to 15 percent slopes, very stony",Consociation,,658,,,,,,,Farmland of statewide importance,Not highly erodible land,Highly erodible land,,,,,,,,,12303,818.7130116,38592.42044
26,51A,789909,HHEA,51A_HHEA,A,51A,"Swansea muck, 0 to 1 percent slopes",Consociation,,1764,,,,,,,Farmland of unique importance,Not highly erodible land,Not highly erodible land,,,,,,,,,12303,1518.401523,71481.0442
27,315B,789876,HHEA,315B_HHEA,B,315B,"Scituate fine sandy loam, 3 to 8 percent slopes",Consociation,,1269,,,,,,,All areas are prime farmland,Potentially highly erodible land,Potentially highly erodible land,,,,,,,,,12303,2629.112634,169789.3418
28,315B,789876,HHEA,315B_HHEA,B,315B,"Scituate fine sandy loam, 3 to 8 percent slopes",Consociation,,1269,,,,,,,All areas are prime farmland,Potentially highly erodible land,Potentially highly erodible land,,,,,,,,,12303,2826.126218,132366.3499
29,254B,789804,HHEA,254B_HHEA,B,254B,"Merrimac sandy loam, 3 to 8 percent slopes",Consociation,,1759,,,,,,,All areas are prime farmland,Potentially highly erodible land,Potentially highly erodible land,,,,,,,,,12303,1333.322078,76335.10701
30,260A,789903,HHEA,260A_HHEA,A,260A,"Sudbury fine sandy loam, 0 to 3 percent slopes",Consociation,,1182,,,,,,,All areas are prime farmland,Not highly erodible land,Not highly erodible land,,,,,,,,,12303,1031.473328,27404.69104
31,301B,789814,HHEA,301B_HHEA,B,301B,"Montauk fine sandy loam, 3 to 8 percent slopes, very stony",Consociation,,974,,,,,,,Farmland of statewide importance,Potentially highly erodible land,Potentially highly erodible land,,,,,,,,,12303,616.1717285,20371.97286
32,421C,789700,HHEA,421C_HHEA,C,421C,"Canton fine sandy loam, 8 to 15 percent slopes, very stony",Consociation,,645,,,,,,,Farmland of statewide importance,Not highly erodible land,Highly erodible land,,,,,,,,,12303,1457.916527,108431.4643
33,421C,789700,HHEA,421C_HHEA,C,421C,"Canton fine sandy loam, 8 to 15 percent slopes, very stony",Consociation,,645,,,,,,,Farmland of statewide importance,Not highly erodible land,Highly erodible land,,,,,,,,,12303,957.5237483,47537.94206
34,52A,789758,HHEA,52A_HHEA,A,52A,"Freetown muck, 0 to 1 percent slopes",Consociation,,3706,,,,,,,Farmland of unique importance,Not highly erodible land,Not highly erodible land,,,,,,,,,12303,530.1772761,15247.98851
35,253B,789785,HHEA,253B_HHEA,B,253B,"Hinckley loamy sand, 3 to 8 percent slopes",Consociation,,5442,,,,,,,Farmland of statewide importance,Potentially highly erodible land,Potentially highly erodible land,,,,,,,,,12303,1198.643101,60339.10767
36,316B,789884,HHEA,316B_HHEA,B,316B,"Scituate fine sandy loam, 3 to 8 percent slopes, very stony",Consociation,,2280,,,,,,,Farmland of statewide importance,Potentially highly erodible land,Potentially highly erodible land,,,,,,,,,12303,1136.102197,54348.06026
37,253A,789783,HHEA,253A_HHEA,A,253A,"Hinckley loamy sand, 0 to 3 percent slopes",Consociation,,864,,,,,,,Farmland of statewide importance,Not highly erodible land,Not highly erodible land,,,,,,,,,12303,427.3566785,11872.08382
38,254B,789804,HHEA,254B_HHEA,B,254B,"Merrimac sandy loam, 3 to 8 percent slopes",Consociation,,1759,,,,,,,All areas are prime farmland,Potentially highly erodible land,Potentially highly erodible land,,,,,,,,,12303,4172.991833,242144.7589
39,52A,789758,HHEA,52A_HHEA,A,52A,"Freetown muck, 0 to 1 percent slopes",Consociation,,3706,,,,,,,Farmland of unique importance,Not highly erodible land,Not highly erodible land,,,,,,,,,12303,691.7113723,27350.24704
40,260B,789907,HHEA,260B_HHEA,B,260B,"Sudbury fine sandy loam, 3 to 8 percent slopes",Consociation,,586,,,,,,,All areas are prime farmland,Potentially highly erodible land,Potentially highly erodible land,,,,,,,,,12303,1125.910755,33260.42767
41,255B,789923,HHEA,255B_HHEA,B,255B,"Windsor loamy sand, 3 to 8 percent slopes",Consociation,,1170,,,,,,,Farmland of statewide importance,Potentially highly erodible land,Potentially highly erodible land,,,,,,,,,12303,801.342313,40042.99214
42,316B,789884,HHEA,316B_HHEA,B,316B,"Scituate fine sandy loam, 3 to 8 percent slopes, very stony",Consociation,,2280,,,,,,,Farmland of statewide importance,Potentially highly erodible land,Potentially highly erodible land,,,,,,,,,12303,2045.540045,61552.90487
43,440B,789763,HHEA,440B_HHEA,B,440B,"Gloucester gravelly fine sandy loam, 3 to 8 percent slopes",Consociation,,263,,,,,,,Farmland of statewide importance,Potentially highly erodible land,Potentially highly erodible land,,,,,,,,,12303,366.6013849,8051.981823
44,421C,789700,HHEA,421C_HHEA,C,421C,"Canton fine sandy loam, 8 to 15 percent slopes, very stony",Consociation,,645,,,,,,,Farmland of statewide importance,Not highly erodible land,Highly erodible land,,,,,,,,,12303,2444.24365,217060.0294
